Filename,Path,Row,Date,Shape_Leng,Shape_Area
p018_r045_l5_20110507,018,045,20110507,2.51402356525,0.25808262405
p018_r046_l5_20100112,018,046,20100112,3.83986768154,0.62349757687
p019_r045_l5_20090201,019,045,20090201,6.00817425717,1.17620885181
p019_r046_l5_20090201,019,046,20090201,5.78606927804,1.47121604331
p020_r045_l5_20100126,020,045,20100126,7.37575541338,1.34168003380
p020_r046_l5_20100126,020,046,20100126,4.90731241228,1.18990284861
p021_r045_l5_20091130,021,045,20091130,1.12566822769,0.01739834629
p018_r047_l5_20100128,018,047,20100128,4.58365185040,0.58229716675
p019_r046_l5_20090201,019,046,20090201,4.64230400636,0.76963774366
p019_r047_l7_20100228,019,047,20100228,7.40360885313,2.24822380338
p019_r048_l7_20081105,019,048,20081105,7.77574965693,2.34391491418
p020_r046_l5_20100126,020,046,20100126,4.07301663808,0.60003334462
p020_r047_l5_20100126,020,047,20100126,5.76839700715,1.33624824291
p020_r048_l5_20091209,020,048,20091209,4.36743672122,0.79174866265
p020_r046_l5_20100126,020,046,20100126,2.84994671941,0.29046840623
p021_r045_l5_20091130,021,045,20091130,2.55889414786,0.34002188737
p021_r046_l5_20100202,021,046,20100202,3.05741121483,0.46369726043
p020_r046_l5_20100126,020,046,20100126,1.57085970275,0.12300839665
p020_r047_l5_20100126,020,047,20100126,4.72589266726,0.92279439196
p020_r048_l5_20091209,020,048,20091209,5.49470474919,1.46512160696
p020_r049_l5_20091209,020,049,20091209,6.35515801946,1.78333081788
p021_r046_l5_20100202,021,046,20100202,2.44292472907,0.29083759890
p021_r047_l5_20091130,021,047,20091130,6.20557786324,1.61489997198
p021_r048_l5_20091130,021,048,20091130,7.26439335899,2.13499235651
p021_r049_l5_20091130,021,049,20091130,7.45054028232,2.25634826852
p021_r050_l7_20111027,021,050,20111027,3.73936084831,0.32425007100
p022_r047_l5_20110228,022,047,20110228,5.29489172480,1.02238668387
p022_r048_l5_20080526,022,048,20080526,7.26751051278,2.42283977282
p022_r049_l5_20080611,022,049,20080611,6.75655052499,1.88821403555
p023_r047_l5_20091214,023,047,20091214,4.65633059540,0.67114476090
p023_r048_l5_20091214,023,048,20091214,6.36568051911,2.21053915041
p023_r049_l5_20091214,023,049,20091214,5.15195345951,0.93077110745
p024_r047_l5_20100122,024,047,20100122,4.16756422515,0.72955648526
p024_r048_l5_20100122,024,048,20100122,3.93334072164,0.52296421710
p024_r049_l5_20100122,024,049,20100122,1.87189121409,0.08326737046
p021_r050_l7_20111027,021,050,20111027,4.61604894413,0.94979534964
p026_r042_l5_20091101,026,042,20091101,4.80951447037,1.30267301544
p026_r043_l5_20091101,026,043,20091101,2.50012414673,0.27917913721
p027_r041_l5_20101213,027,041,20101213,6.27319823634,2.11514652938
p027_r042_l5_20100807,027,042,20100807,6.40184772335,2.28691704685
